country,ISO,Year,Region,OBI_unrounded,OBI_rounded,OBI_Category,Legislative_Oversight,SAI_Oversight,Oversight_Overall,IFI_Oversight_unscored,Public_Participation,Comp_2006–2012,Comp_2012–2015,Comp_2015–2017,Comp_2017–2019,Comp_2019–2021,Comp_2021–2023,Comp_2023–2025,ocde,latam
Afghanistan,AFG,2025,South Asia,0,0,Scant or None (0-20),0,0,0,0,0,0,1,1,1,1,1,1,0,0
Afghanistan,AFG,2023,South Asia,0,0,Scant or None (0-20),0,0,0,0,0,0,1,1,1,1,1,1,0,0
Afghanistan,AFG,2021,South Asia,42.89,43,Limited (41-60),22.08,50,31.39,0,12.94,0,1,1,1,1,1,1,0,0
Afghanistan,AFG,2019,South Asia,49.52,50,Limited (41-60),22.08,50,31.39,0,14.78,0,1,1,1,1,1,1,0,0
Afghanistan,AFG,2017,South Asia,48.59,49,Limited (41-60),30.42,66.67,42.5,0,14.78,0,1,1,1,1,1,1,0,0
Afghanistan,AFG,2015,South Asia,41.81,42,Limited (41-60),36.36,50,,,27,0,1,1,1,1,1,1,0,0
Afghanistan,AFG,2012,South Asia,58.62,59,Limited (41-60),48.45,75,,,11,0,1,1,1,1,1,1,0,0
Afghanistan,AFG,2010,South Asia,21.03,21,Minimal (21-40),47.17,26.7,,,,0,1,1,1,1,1,1,0,0
Afghanistan,AFG,2008,South Asia,8.34,8,Scant or None (0-20),24.27,6.7,,,,0,1,1,1,1,1,1,0,0
Albania,ALB,2025,Eastern Europe & Central Asia,64.23,64,Substantial (61-80),63.92,77.83,68.56,0,16.61,1,1,1,1,1,1,1,0,0
Albania,ALB,2023,Eastern Europe & Central Asia,57.48,57,Limited (41-60),63.92,72.17,66.67,0,9.17,1,1,1,1,1,1,1,0,0
Albania,ALB,2021,Eastern Europe & Central Asia,51.65,52,Limited (41-60),63.92,72.17,66.67,0,5.5,1,1,1,1,1,1,1,0,0
Albania,ALB,2019,Eastern Europe & Central Asia,54.72,55,Limited (41-60),61.08,72.17,64.78,0,7.33,1,1,1,1,1,1,1,0,0
Albania,ALB,2017,Eastern Europe & Central Asia,49.66,50,Limited (41-60),66.67,72.17,68.5,0,1.83,1,1,1,1,1,1,1,0,0
Albania,ALB,2015,Eastern Europe & Central Asia,38.22,38,Minimal (21-40),48.55,91.75,,,14.56,1,1,1,1,1,1,1,0,0
Albania,ALB,2012,Eastern Europe & Central Asia,46.69,47,Limited (41-60),51.55,100,,,11.08,1,1,1,1,1,1,1,0,0
Albania,ALB,2010,Eastern Europe & Central Asia,32.97,33,Minimal (21-40),44.5,50,,,,1,1,1,1,1,1,1,0,0
Albania,ALB,2008,Eastern Europe & Central Asia,37.33,37,Minimal (21-40),41.58,66.8,,,,1,1,1,1,1,1,1,0,0
Albania,ALB,2006,Eastern Europe & Central Asia,24.89,25,Minimal (21-40),47.17,62.62,,,,1,1,1,1,1,1,1,0,0
Algeria,DZA,2025,Middle East & North Africa,22.32,22,Minimal (21-40),30.58,16.67,25.94,0,0,0,1,1,1,1,1,1,0,0
Algeria,DZA,2023,Middle East & North Africa,14.68,15,Scant or None (0-20),27.75,27.83,27.78,0,0,0,1,1,1,1,1,1,0,0
Algeria,DZA,2021,Middle East & North Africa,3.37,3,Scant or None (0-20),33.33,27.83,31.5,0,0,0,1,1,1,1,1,1,0,0
Algeria,DZA,2019,Middle East & North Africa,2.15,2,Scant or None (0-20),38.83,27.83,35.17,0,0,0,1,1,1,1,1,1,0,0
Algeria,DZA,2017,Middle East & North Africa,3.06,3,Scant or None (0-20),41.58,11.17,31.44,0,0,0,1,1,1,1,1,1,0,0
Algeria,DZA,2015,Middle East & North Africa,18.96,19,Scant or None (0-20),36.27,33.5,,,0,0,1,1,1,1,1,1,0,0
Algeria,DZA,2012,Middle East & North Africa,13.33,13,Scant or None (0-20),21.18,33.5,,,13.83,0,1,1,1,1,1,1,0,0
